tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
9606	Homo sapiens	6241	0	live	RRM2	C2orf48, R2, RR2, RR2M	ribonucleotide reductase regulatory subunit M2	ribonucleoside-diphosphate reductase subunit M2|ribonucleotide reductase M2 polypeptide|ribonucleotide reductase small chain|ribonucleotide reductase small subunit|uncharacterized protein C2orf48	2p25.1	2	NC_000002.12	10122568	10211010	plus	14	180390	
9606	Homo sapiens	1903	0	live	S1PR3	C9orf108, C9orf47, EDG-3, EDG3, LPB3, S1P3, bA791O21.3	sphingosine-1-phosphate receptor 3	sphingosine 1-phosphate receptor 3|G protein-coupled receptor, endothelial differentiation gene-3|S1P receptor 3|S1P receptor EDG3|S1P receptor Edg-3|endothelial differentiation G-protein coupled receptor 3|endothelial differentiation, sphingolipid G-protein-coupled receptor, 3|sphingosine 1-phosphate receptor Edg-3|uncharacterized protein C9orf47	9q22.1	9	NC_000009.12	88990863	89005155	plus	4	601965	
9606	Homo sapiens	64771	0	live	ILRUN	C6orf106, FP852, dJ391O22.4	inflammation and lipid regulator with UBA-like and NBR1-like domains	protein ILRUN|inflammation and lipid regulator with UBA-like and NBR1-like domains protein|uncharacterized protein C6orf106	6p21.31	6	NC_000006.12	34587288	34696767	minus	8	612217	
9606	Homo sapiens	5414	0	live	SEPTIN4	ARTS, BRADEION, C17orf47, CE5B3, H5, MART, PNUTL2, SEP4, SEPT4, hCDCREL-2, hucep-7	septin 4	septin-4|CE5B3 beta|apoptosis-related protein in the TGF-beta signaling pathway|bradeion beta|brain protein H5|cell division control-related protein 2|cerebral protein 7|peanut-like protein 2|septin-M|uncharacterized protein C17orf47	17q22	17	NC_000017.11	58520256	58544328	minus	22	603696	
9606	Homo sapiens	10665	0	live	TSBP1	C6orf10, TSBP	testis expressed basic protein 1	testis-expressed basic protein 1|testis specific basic protein|uncharacterized protein C6orf10	6p21.32	6	NC_000006.12	32292698	32371903	minus	29	618151	
9606	Homo sapiens	161176	0	live	SYNE3	C14orf139, C14orf49, KASH3, LINC00341, NCRNA00341, NET53, Nesp3	spectrin repeat containing nuclear envelope family member 3	nesprin-3|KASH domain-containing protein 3|long intergenic non-protein coding RNA 341|nuclear envelope spectrin repeat protein 3|uncharacterized protein C14orf113	14q32.13	14	NC_000014.9	95407266	95516650	minus	22	610861	
9606	Homo sapiens	84529	0	live	CDIN1	C15orf41, HH114	CDAN1 interacting nuclease 1	CDAN1-interacting nuclease 1|protein C15orf41|uncharacterized protein C15orf41	15q14	15	NC_000015.10	36579626	36810244	plus	17	615626	
9606	Homo sapiens	55195	0	live	CCDC198	C14orf105	coiled-coil domain containing 198	uncharacterized protein CCDC198|uncharacterized protein C14orf105	14q22.3	14	NC_000014.9	57469300	57493857	minus	8		
9606	Homo sapiens	79415	0	live	CYBC1	C17orf62, CGD5, Eros	cytochrome b-245 chaperone 1	cytochrome b-245 chaperone 1|essential for reactive oxygen species protein|uncharacterized protein C17orf62	17q25.3	17	NC_000017.11	82442586	82450752	minus	8	618334	
9606	Homo sapiens	65998	0	live	ZFTA	C11orf95	zinc finger translocation associated	zinc finger translocation-associated protein|uncharacterized protein C11orf95	11q13.1	11	NC_000011.10	63759892	63768775	minus	5	615699	
9606	Homo sapiens	750	0	live	GAS8-AS1	C16orf3	GAS8 antisense RNA 1	uncharacterized protein C16orf3	16q24.3	16	NC_000016.10	90028908	90029901	minus	1	605179	
9606	Homo sapiens	55216	0	live	NKAPD1	C11orf57	NKAP domain containing 1	uncharacterized protein NKAPD1|NKAP domain containing protein 1|uncharacterized protein C11orf57	11q23.1	11	NC_000011.10	112074299	112085150	plus	6		
9606	Homo sapiens	340602	0	live	EZHIP	CATACOMB, CXorf67, KIP75	EZH inhibitory protein	EZH inhibitory protein|K27M-like inhibitor of PRC2|catalytic antagonist of Polycomb|uncharacterized protein CXorf67	Xp11.22	X	NC_000023.11	51406948	51408843	plus	1	301036	
9606	Homo sapiens	55086	0	live	RADX	CXorf57	RPA1 related single stranded DNA binding protein, X-linked	RPA-related protein RADX|RPA-related and RAD51-antagonist, X-chromosome|RPA-related, RAD51-antagonist on X-chromosome|uncharacterized protein CXorf57	Xq22.3	X	NC_000023.11	106611978	106679439	plus	14		
9606	Homo sapiens	51759	0	live	C9orf78	CSU2, HCA59, HSPC220, TLS1, bA409K20.3	chromosome 9 open reading frame 78	telomere length and silencing protein 1 homolog|hepatocellular carcinoma-associated antigen 59|uncharacterized protein C9orf78	9q34.11	9	NC_000009.12	129827290	129835275	minus	9	619569	
9606	Homo sapiens	388939	0	live	PCARE	C2orf71, RP54	photoreceptor cilium actin regulator	photoreceptor cilium actin regulator|uncharacterized protein C2orf71	2p23.2	2	NC_000002.12	29061695	29074523	minus	2	613425	
9606	Homo sapiens	55765	0	live	INAVA	C1orf106	innate immunity activator	innate immunity activator protein|uncharacterized protein C1orf106	1q32.1	1	NC_000001.11	200891531	200915742	plus	11	618051	
9606	Homo sapiens	90580	0	live	TIMM29	C19orf52, TIM29	translocase of inner mitochondrial membrane 29	mitochondrial import inner membrane translocase subunit Tim29|uncharacterized protein C19orf52	19p13.2	19	NC_000019.10	10928811	10930254	plus	2	617380	
