tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
9606	Homo sapiens	3514	0	live	IGKC	HCAK1D, Km, IGKC	immunoglobulin kappa constant	immunoglobulin kappa (invariant region)|immunoglobulin kappa constant region|immunoglobulin kappa light chain (VJ)	2p11.2	2	NC_000002.12	88857361	88857683	minus	0	147200	
9606	Homo sapiens	3500	0	live	IGHG1		immunoglobulin heavy constant gamma 1 (G1m marker)	constant region of heavy chain of IgG1|immunoglobulin gamma 1 (Gm marker)	14q32.33	14	NC_000014.9	105741473	105743070	minus	0	147100	
9606	Homo sapiens	2213	0	live	FCGR2B	CD32, CD32B, FCG2, FCGR2, FCGR2C, FcGRIIB, FcRII-c, FcgammaRIIb, IGFR2	Fc gamma receptor IIb	low affinity immunoglobulin gamma Fc region receptor II-b|CDw32|Fc fragment of IgG receptor IIb|Fc fragment of IgG, low affinity II, receptor for (CD32)|Fc fragment of IgG, low affinity IIb, receptor (CD32)|Fc fragment of IgG, low affinity IIb, receptor for (CD32)|Fc gamma RIIb|Fc-gamma RII-c|Fc-gamma-RIIc|IgG Fc receptor II-c|Low affinity immunoglobulin gamma Fc region receptor II-c|fc-gamma RII-b|fc-gamma-RIIb|fcRII-b|igG Fc receptor II-b	1q23.3	1	NC_000001.11	161647243	161678654	plus	11	604590	
9606	Homo sapiens	3492	0	live	IGH	IGD1.1@, IGH@, IGHD@, IGHDY1, IGHJ, IGHJ@, IGHV, IGHV@, IGH	immunoglobulin heavy locus	D (diversity) region of heavy chains|J (joining) region of heavy chains|immunglobulin heavy chain variable region|immunoglobulin heavy diversity cluster|immunoglobulin heavy diversity group|immunoglobulin heavy diversity locus|immunoglobulin heavy joining cluster|immunoglobulin heavy joining group|immunoglobulin heavy polypeptide, joining region|immunoglobulin heavy variable cluster|immunoglobulin heavy variable group	14q32.33	14	NC_000014.9	105586437	106879844	minus	0	146910,147010,147070	
9606	Homo sapiens	2212	0	live	FCGR2A	CD32, CD32A, CDw32, FCG2, FCGR21, FcGR, FcgammaRIIa, IGFR2, FCGR2A	Fc gamma receptor IIa	low affinity immunoglobulin gamma Fc region receptor II-a|Fc fragment of IgG receptor IIa|Fc fragment of IgG, low affinity IIa, receptor (CD32)|Fc gamma receptor RIIa3|Immunoglobulin G Fc receptor II|fc-gamma-RIIa|fcRII-a|igG Fc receptor II-a	1q23.3	1	NC_000001.11	161505457	161524048	plus	10	146790	
9606	Homo sapiens	5284	0	live	PIGR		polymeric immunoglobulin receptor	polymeric immunoglobulin receptor|hepatocellular carcinoma associated protein TB6|poly-Ig receptor	1q32.1	1	NC_000001.11	206928522	206946466	minus	11	173880	
9606	Homo sapiens	2214	0	live	FCGR3A	CD16, CD16-II, CD16A, FCG3, FCGR3, FCGRIII, FCR-10, FCRIII, FCRIIIA, FcGRIIIA, IGFR3, IMD20	Fc gamma receptor IIIa	low affinity immunoglobulin gamma Fc region receptor III-A|CD16a antigen|Fc fragment of IgG receptor IIIa|Fc fragment of IgG, low affinity III, receptor for (CD16)|Fc fragment of IgG, low affinity IIIa, receptor (CD16a)|Fc gamma receptor III-A|Fc-gamma RIII-alpha|Fc-gamma receptor III-2 (CD 16)|Fc-gamma receptor IIIb (CD16)|FcgammaRIIIA|IgG Fc receptor III-A|igG Fc receptor III-2|immunoglobulin G Fc receptor III|low affinity immunoglobulin gamma Fc region receptor III-A/III-B recombinant|low affinity immunoglobulin gamma Fc region receptor III-B|low affinity immunoglobulin gamma receptor III-a Fc fragment|neutrophil-specific antigen NA	1q23.3	1	NC_000001.11	161541759	161550737	minus	7	146740	
9606	Homo sapiens	84868	0	live	HAVCR2	CD366, HAVcr-2, KIM-3, SPTCL, TIM3, TIMD-3, TIMD3, Tim-3	hepatitis A virus cellular receptor 2	hepatitis A virus cellular receptor 2|T cell immunoglobulin mucin 3|T-cell immunoglobulin and mucin domain 3|T-cell immunoglobulin and mucin domain-containing protein 3|T-cell immunoglobulin mucin family member 3|T-cell immunoglobulin mucin receptor 3|T-cell membrane protein 3|kidney injury molecule-3	5q33.3	5	NC_000005.10	157085832	157109044	minus	7	606652	
9606	Homo sapiens	3512	0	live	JCHAIN	IGCJ, IGJ, JCH	joining chain of multimeric IgA and IgM	immunoglobulin J chain|IgJ chain|J chain|immunoglobulin J polypeptide, linker protein for immunoglobulin alpha and mu polypeptides	4q13.3	4	NC_000004.12	70655541	70666508	minus	4	147790	
9606	Homo sapiens	3493	0	live	IGHA1	IgA1	immunoglobulin heavy constant alpha 1	immunoglobulin alpha 1|immunoglobulin heavy chain constant region alpha 1	14q32.33	14	NC_000014.9	105707168	105708664	minus	0	146900	
