HGNC ID	Approved symbol	Approved name	Status	Locus type	Previous symbols	Alias symbols	Chromosome	NCBI Gene ID	Ensembl gene ID	Vega gene ID	Group ID	Group name
HGNC:44278	RNA18S1	RNA, 18S ribosomal 1	Approved	RNA, ribosomal			13p12 not on reference assembly	106632259			1383	18S ribosomal RNAs
HGNC:44279	RNA18S2	RNA, 18S ribosomal 2	Approved	RNA, ribosomal			14p12 not on reference assembly	106632258			1383	18S ribosomal RNAs
HGNC:44280	RNA18S3	RNA, 18S ribosomal 3	Approved	RNA, ribosomal			15p12 not on reference assembly	106631782			1383	18S ribosomal RNAs
HGNC:44281	RNA18S4	RNA, 18S ribosomal 4	Approved	RNA, ribosomal			21p12 not on reference assembly	110255165			1383	18S ribosomal RNAs
HGNC:37657	RNA18S5	RNA, 18S ribosomal 5	Approved	RNA, ribosomal	RN18S1		22p12 not on reference assembly	110255169			1383	18S ribosomal RNAs
HGNC:44286	RNA28S1	RNA, 28S ribosomal 1	Approved	RNA, ribosomal			13p12 not on reference assembly	106632267			1385	28S ribosomal RNAs
HGNC:44287	RNA28S2	RNA, 28S ribosomal 2	Approved	RNA, ribosomal			14p12 not on reference assembly	106632266			1385	28S ribosomal RNAs
HGNC:44288	RNA28S3	RNA, 28S ribosomal 3	Approved	RNA, ribosomal			15p12 not on reference assembly	106632265			1385	28S ribosomal RNAs
HGNC:44289	RNA28S4	RNA, 28S ribosomal 4	Approved	RNA, ribosomal			21p12 not on reference assembly	110255164			1385	28S ribosomal RNAs
HGNC:37659	RNA28S5	RNA, 28S ribosomal 5	Approved	RNA, ribosomal	RN28S1		22p12 not on reference assembly	110255168			1385	28S ribosomal RNAs
HGNC:44274	RNA45S1	RNA, 45S pre-ribosomal 1	Approved	RNA, ribosomal			13p12 not on reference assembly	106631780			1382	45S pre-ribosomal RNAs
HGNC:44275	RNA45S2	RNA, 45S pre-ribosomal 2	Approved	RNA, ribosomal			14p12 not on reference assembly	106631779			1382	45S pre-ribosomal RNAs
HGNC:44276	RNA45S3	RNA, 45S pre-ribosomal 3	Approved	RNA, ribosomal			15p12 not on reference assembly	106631778			1382	45S pre-ribosomal RNAs
HGNC:44277	RNA45S4	RNA, 45S pre-ribosomal 4	Approved	RNA, ribosomal			21p12 not on reference assembly	110255163			1382	45S pre-ribosomal RNAs
HGNC:44273	RNA45S5	RNA, 45S pre-ribosomal 5	Approved	RNA, ribosomal			22p12 not on reference assembly	110255167			1382	45S pre-ribosomal RNAs
HGNC:44282	RNA5-8S1	RNA, 5.8S ribosomal 1	Approved	RNA, ribosomal			13p12 not on reference assembly	106632263			1384	5.8S ribosomal RNAs
HGNC:44283	RNA5-8S2	RNA, 5.8S ribosomal 2	Approved	RNA, ribosomal			14p12 not on reference assembly	106632262			1384	5.8S ribosomal RNAs
HGNC:44284	RNA5-8S3	RNA, 5.8S ribosomal 3	Approved	RNA, ribosomal			15p12 not on reference assembly	106632261			1384	5.8S ribosomal RNAs
HGNC:44285	RNA5-8S4	RNA, 5.8S ribosomal 4	Approved	RNA, ribosomal			21p12 not on reference assembly	110255166			1384	5.8S ribosomal RNAs
HGNC:37660	RNA5-8S5	RNA, 5.8S ribosomal 5	Approved	RNA, ribosomal	RN5-8S1		22p12 not on reference assembly	110255170			1384	5.8S ribosomal RNAs
HGNC:34362	RNA5S1	RNA, 5S ribosomal 1	Approved	RNA, ribosomal	RN5S1		1q42.13	100169751	ENSG00000199352		1380	5S ribosomal RNAs
HGNC:34371	RNA5S10	RNA, 5S ribosomal 10	Approved	RNA, ribosomal	RN5S10		1q42.13	100169761	ENSG00000199910		1380	5S ribosomal RNAs
HGNC:34372	RNA5S11	RNA, 5S ribosomal 11	Approved	RNA, ribosomal	RN5S11		1q42.13	100169762	ENSG00000199334		1380	5S ribosomal RNAs
HGNC:34373	RNA5S12	RNA, 5S ribosomal 12	Approved	RNA, ribosomal	RN5S12		1q42.13	100169763	ENSG00000199270		1380	5S ribosomal RNAs
HGNC:34374	RNA5S13	RNA, 5S ribosomal 13	Approved	RNA, ribosomal	RN5S13		1q42.13	100169764	ENSG00000202526		1380	5S ribosomal RNAs
HGNC:34375	RNA5S14	RNA, 5S ribosomal 14	Approved	RNA, ribosomal	RN5S14		1q42.13	100169765	ENSG00000201355		1380	5S ribosomal RNAs
HGNC:34376	RNA5S15	RNA, 5S ribosomal 15	Approved	RNA, ribosomal	RN5S15		1q42.13	100169766	ENSG00000201925		1380	5S ribosomal RNAs
HGNC:34377	RNA5S16	RNA, 5S ribosomal 16	Approved	RNA, ribosomal	RN5S16		1q42.13	100169767	ENSG00000202257		1380	5S ribosomal RNAs
HGNC:34378	RNA5S17	RNA, 5S ribosomal 17	Approved	RNA, ribosomal	RN5S17		1q42.13	100169768	ENSG00000200370		1380	5S ribosomal RNAs
HGNC:34363	RNA5S2	RNA, 5S ribosomal 2	Approved	RNA, ribosomal	RN5S2		1q42.13	100169753	ENSG00000201588		1380	5S ribosomal RNAs
HGNC:34364	RNA5S3	RNA, 5S ribosomal 3	Approved	RNA, ribosomal	RN5S3		1q42.13	100169754	ENSG00000199337		1380	5S ribosomal RNAs
